,player_name,pro_id,cbb_id,made_asg
581,Pape Sy,sypa01,,0.0
582,Willie Warren,warrewi01,willie-warren-1,0.0
583,Jeremy Evans,evansje01,jeremy-evans-1,0.0
584,Hamady N'Diaye,ndiayha01,hamady-ndiaye-1,0.0
585,Ryan Reid,reidry01,ryan-reid-1,0.0
586,Derrick Caracter,caracde01,derrick-caracter-1,0.0
587,Dwayne Collins,collidw01,dwayne-collins-1,0.0
588,Kyrie Irving,irvinky01,kyrie-irving-1,1.0
589,Derrick Williams,willide02,derrick-williams-2,0.0
590,Enes Kanter,kanteen01,,0.0
591,Tristan Thompson,thomptr01,tristan-thompson-2,0.0
592,Jonas Valančiūnas,valanjo01,,0.0
593,Jan Veselý,veselja01,,0.0
594,Bismack Biyombo,biyombi01,,0.0
595,Brandon Knight,knighbr03,brandon-knight-1,0.0
596,Kemba Walker,walkeke02,kemba-walker-1,1.0
597,Jimmer Fredette,fredeji01,jimmer-fredette-1,0.0
598,Klay Thompson,thompkl01,klay-thompson-1,1.0
599,Alec Burks,burksal01,alec-burks-1,0.0
600,Markieff Morris,morrima02,markieff-morris-1,0.0
601,Marcus Morris,morrima03,marcus-morris-1,0.0
602,Kawhi Leonard,leonaka01,kawhi-leonard-1,1.0
603,Nikola Vučević,vucevni01,nikola-vucevic-1,1.0
604,Iman Shumpert,shumpim01,iman-shumpert-1,0.0
605,Chris Singleton,singlch01,chris-singleton-1,0.0
606,Tobias Harris,harrito02,tobias-harris-1,0.0
607,Donatas Motiejūnas,motiedo01,,0.0
608,Nolan Smith,smithno01,nolan-smith-1,0.0
609,Kenneth Faried,farieke01,kenneth-faried-1,0.0
610,Nikola Mirotić,mirotni01,,0.0
611,Reggie Jackson,jacksre01,reggie-jackson-1,0.0
612,MarShon Brooks,brookma01,marshon-brooks-1,0.0
613,Jordan Hamilton,hamiljo02,jordan-hamilton-2,0.0
614,JaJuan Johnson,johnsja02,jajuan-johnson-1,0.0
615,Norris Cole,coleno01,norris-cole-1,0.0
616,Cory Joseph,josepco01,cory-joseph-1,0.0
617,Jimmy Butler,butleji01,jimmy-butler-1,1.0
618,Bojan Bogdanović,bogdabo02,,0.0
619,Justin Harper,harpeju01,justin-harper-1,0.0
620,Kyle Singler,singlky01,kyle-singler-1,0.0
621,Shelvin Mack,macksh01,shelvin-mack-1,0.0
622,Tyler Honeycutt,honeyty01,tyler-honeycutt-1,0.0
623,Jordan Williams,willijo03,jordan-williams-1,0.0
624,Trey Thompkins,thomptr02,trey-thompkins-1,0.0
625,Chandler Parsons,parsoch01,chandler-parsons-1,0.0
626,Jeremy Tyler,tylerje01,,0.0
627,Jon Leuer,leuerjo01,jon-leuer-1,0.0
628,Darius Morris,morrida01,darius-morris-1,0.0
629,Dāvis Bertāns,bertada01,,0.0
630,Malcolm Lee,leema01,malcolm-lee-1,0.0
631,Charles Jenkins,jenkich01,charles-jenkins-1,0.0
632,Josh Harrellson,harrejo01,josh-harrellson-1,0.0
633,Andrew Goudelock,goudean01,andrew-goudelock-1,0.0
634,Travis Leslie,leslitr01,travis-leslie-1,0.0
635,Keith Benson,bensoke02,keith-benson-1,0.0
636,Josh Selby,selbyjo01,josh-selby-1,0.0
637,Lavoy Allen,allenla01,lavoy-allen-1,0.0
638,Jon Diebler,diebljo01,jon-diebler-1,0.0
639,Vernon Macklin,macklve01,vernon-macklin-1,0.0
640,DeAndre Liggins,liggide01,deandre-liggins-1,0.0
641,Milan Mačvan,macvami01,,0.0
642,E'Twaun Moore,mooreet01,etwaun-moore-1,0.0
643,Chukwudiebere Maduabum,maduach01,,0.0
644,Ater Majok,majokat01,ater-majok-1,0.0
645,Ádám Hanga,hangaad01,,0.0
646,Isaiah Thomas,thomais02,isaiah-thomas-1,1.0
647,Anthony Davis,davisan02,anthony-davis-5,1.0
648,Michael Kidd-Gilchrist,kiddgmi01,michael-kidd-gilchrist-1,0.0
649,Bradley Beal,bealbr01,bradley-beal-1,1.0
650,Dion Waiters,waitedi01,dion-waiters-1,0.0
651,Thomas Robinson,robinth01,thomas-robinson-2,0.0
652,Damian Lillard,lillada01,damian-lillard-1,1.0
653,Harrison Barnes,barneha02,harrison-barnes-1,0.0
654,Terrence Ross,rosste01,terrence-ross-1,0.0
655,Andre Drummond,drumman01,andre-drummond-1,1.0
656,Austin Rivers,riverau01,austin-rivers-1,0.0
657,Meyers Leonard,leoname01,meyers-leonard-1,0.0
658,Jeremy Lamb,lambje01,jeremy-lamb-1,0.0
659,Kendall Marshall,marshke01,kendall-marshall-1,0.0
660,John Henson,hensojo01,john-henson-1,0.0
661,Maurice Harkless,harklma01,maurice-harkless-1,0.0
662,Royce White,whitero03,royce-white-1,0.0
663,Tyler Zeller,zellety01,tyler-zeller-1,0.0
664,Terrence Jones,joneste01,terrence-jones-1,0.0
665,Andrew Nicholson,nichoan01,andrew-nicholson-1,0.0
666,Evan Fournier,fournev01,,0.0
667,Jared Sullinger,sullija01,jared-sullinger-1,0.0
668,Fab Melo,melofa01,fab-melo-1,0.0
669,John Jenkins,jenkijo01,john-jenkins-1,0.0
670,Jared Cunningham,cunnija01,jared-cunningham-2,0.0
671,Tony Wroten,wroteto01,tony-wroten-1,0.0
672,Miles Plumlee,plumlmi01,miles-plumlee-1,0.0
673,Arnett Moultrie,moultar01,arnett-moultrie-1,0.0
674,Perry Jones,jonespe01,perry-jones-1,0.0
675,Marquis Teague,teaguma01,marquis-teague-1,0.0
676,Festus Ezeli,ezelife01,festus-ezeli-1,0.0
677,Jeffery Taylor,tayloje03,jeffery-taylor-1,0.0
678,Tomáš Satoranský,satorto01,,0.0
679,Bernard James,jamesbe01,bernard-james--1,0.0
680,Jae Crowder,crowdja01,jae-crowder-1,0.0
681,Draymond Green,greendr01,draymond-green-1,1.0
682,Orlando Johnson,johnsor01,orlando-johnson-1,0.0
683,Quincy Acy,acyqu01,quincy-acy-1,0.0
684,Quincy Miller,millequ01,quincy-miller-1,0.0
685,Khris Middleton,middlkh01,khris-middleton-1,1.0
686,Will Barton,bartowi01,will-barton-1,0.0
687,Tyshawn Taylor,tayloty01,tyshawn-taylor-1,0.0
688,Doron Lamb,lambdo01,doron-lamb-1,0.0
689,Mike Scott,scottmi01,mike-scott-4,0.0
690,Kim English,engliki01,kim-english-1,0.0
691,Justin Hamilton,hamilju01,justin-hamilton-2,0.0
692,Darius Miller,milleda01,darius-miller-1,0.0
693,Kevin Murphy,murphke01,kevin-murphy-1,0.0
694,Kostas Papanikolaou,papanko01,,0.0
695,Kyle O'Quinn,oquinky01,kyle-oquinn-1,0.0
696,İzzet Türkyılmaz,turkyiz01,,0.0
697,Kris Joseph,josepkr01,kris-joseph-1,0.0
698,Ognjen Kuzmić,kuzmiog01,,0.0
699,Furkan Aldemir,aldemfu01,,0.0
700,Tornike Shengelia,shengto01,,0.0
701,Darius Johnson-Odom,johnsda03,darius-johnson-odom-1,0.0
702,Tomislav Zubčić,zubcito01,,0.0
703,İlkan Karaman,karamil01,,0.0
704,Robbie Hummel,hummero01,robbie-hummel-1,0.0
705,Marcus Denmon,denmoma01,marcus-denmon-1,0.0
706,Robert Sacre,sacrero01,robert-sacre-1,0.0
707,Anthony Bennett,bennean01,anthony-bennett-1,0.0
708,Victor Oladipo,oladivi01,victor-oladipo-1,1.0
709,Otto Porter,porteot01,otto-porter-1,0.0
710,Cody Zeller,zelleco01,cody-zeller-1,0.0
711,Alex Len,lenal01,alex-len-1,0.0
712,Nerlens Noel,noelne01,nerlens-noel-1,0.0
713,Ben McLemore,mclembe01,ben-mclemore-1,0.0
714,Kentavious Caldwell-Pope,caldwke01,kentavious-caldwell-pope-1,0.0
715,Trey Burke,burketr01,trey-burke-1,0.0
716,CJ McCollum,mccolcj01,cj-mccollum-1,0.0
717,Michael Carter-Williams,cartemi01,michael-carter-williams-1,0.0
718,Steven Adams,adamsst01,steven-adams-1,0.0
719,Kelly Olynyk,olynyke01,kelly-olynyk-1,0.0
720,Shabazz Muhammad,muhamsh01,shabazz-muhammad-1,0.0
721,Giannis Antetokounmpo,antetgi01,,1.0
722,Lucas Nogueira,noguelu01,,0.0
723,Dennis Schröder,schrode01,,0.0
724,Shane Larkin,larkish01,shane-larkin-1,0.0
725,Sergey Karasev,karasse01,,0.0
726,Tony Snell,snellto01,tony-snell-1,0.0
727,Gorgui Dieng,dienggo01,gorgui-dieng-1,0.0
728,Mason Plumlee,plumlma01,mason-plumlee-1,0.0
729,Solomon Hill,hillso01,solomon-hill-1,0.0
730,Tim Hardaway,hardati02,tim-hardaway-jr-1,1.0
731,Reggie Bullock,bullore01,reggie-bullock-2,0.0
732,Andre Roberson,roberan03,andre-roberson-1,0.0
733,Rudy Gobert,goberru01,,1.0
734,Livio Jean-Charles,jeancli01,,0.0
735,Archie Goodwin,goodwar01,archie-goodwin-1,0.0
