year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assists,blocks,box_plus_minus,conference,defensive_rebounds,field_goal_attempts,field_goals,free_throw_attempt,free_throws,minutes_played,offensive_rebounds,personal_fouls,points,steals,three_point_attempts,three_pointers,total_rebounds,turnovers,two_point_attempts,two_pointers,player_id,classification
2010,Andy Rautins,Syracuse,38,G,11.27,3.04,3.49,23.5,30.5,8.0,6.2,8.0,9.75,76.25,77.0,100.0,191.6,79.0,171,8,,big-east,100.0,297,130,81,66,1137.0,18.0,76.0,424,69,241,98,118,98.0,56,32,andy-rautins-1,Exclude
2013,Anthony Bennett,Nevada-Las Vegas,1,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,34,43,8.5,mwc,199.0,379,202,177,124,950.0,86.0,80.0,564,24,96,36,285,65.0,283,166,anthony-bennett-1,Exclude
2015,Anthony Brown,Stanford,34,F,10.94,3.29,3.18,27.5,34.5,4.0,6.1,8.5,9.0,77.75,79.25,104.5,211.0,83.0,94,7,7.0,pac-12,214.0,408,176,146,116,1320.0,42.0,78.0,547,28,179,79,256,72.0,229,97,anthony-brown-5,Exclude
2012,Anthony Davis,Kentucky,1,F,11.46,3.1,3.3,29.41,34.23,11.36,7.9,9.0,8.5,81.25,82.5,108.0,221.8,89.5,50,186,18.7,sec,296.0,337,210,203,144,1281.0,119.0,78.0,567,54,20,3,415,41.0,317,207,anthony-davis-5,All-Star
2008,Anthony Randolph,Louisiana State,14,F,11.86,3.1,3.26,29.0,35.0,7.0,4.7,8.95,9.59,81.0,82.25,109.0,197.0,87.0,38,70,,sec,177.0,394,183,166,115,1016.0,86.0,85.0,483,35,19,2,263,92.0,375,181,anthony-randolph-1,Exclude
2005,Antoine Wright,Texas A&M,15,F,11.45,3.1,3.41,26.5,29.5,12.0,7.79,8.95,9.59,77.25,78.25,104.5,202.6,80.75,69,22,,big-12,134.0,385,193,139,96,1052.0,51.0,79.0,553,36,159,71,185,75.0,226,122,antoine-wright-1,Bust
2004,Antonio Burks,Memphis,36,G,11.11,3.04,3.22,30.1,36.1,9.0,9.9,8.46,9.1,72.0,72.75,96.5,191.0,78.5,165,7,,cusa,80.0,371,176,114,72,1030.0,16.0,69.0,481,71,138,57,96,74.0,233,119,antonio-burks-1,Exclude
2013,Archie Goodwin,Kentucky,29,G,10.75,3.41,3.27,30.0,36.0,1.0,4.55,8.5,9.0,75.75,77.25,102.0,189.0,81.5,88,15,2.4,sec,104.0,357,157,212,135,1048.0,48.0,97.0,466,36,64,17,152,101.0,293,140,archie-goodwin-1,Role Player
2010,Armon Johnson,Nevada-Reno,34,G,11.25,3.04,3.19,31.5,38.5,18.0,5.6,8.25,9.25,74.0,75.25,99.5,195.2,80.0,189,12,,wac,89.0,442,219,118,80,1172.0,26.0,61.0,535,28,71,17,115,114.0,371,202,armon-johnson-1,Exclude
2012,Arnett Moultrie,Mississippi State,27,F,11.32,3.1,3.22,33.5,37.5,10.0,7.7,9.25,9.25,81.5,82.75,106.5,232.8,86.25,35,23,4.8,sec,204.0,328,180,159,124,1073.0,110.0,67.0,492,25,18,8,314,73.0,310,172,arnett-moultrie-1,Exclude
2007,Arron Afflalo,California-Los Angeles,27,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,70,8,,pac-10,84.0,456,210,126,101,1186.0,15.0,66.0,608,22,232,87,99,64.0,224,123,arron-afflalo-1,Starter
2009,Austin Daye,Gonzaga,15,F,12.11,3.1,3.55,25.0,28.0,0.0,5.5,8.95,9.59,81.75,82.75,110.0,191.8,86.75,37,70,,wcc,196.0,333,159,109,77,895.0,36.0,97.0,431,24,84,36,232,73.0,249,123,austin-daye-1,Role Player
2012,Austin Rivers,Duke,10,G,11.54,3.04,3.32,32.5,37.5,1.0,6.2,8.5,10.0,75.5,77.0,96.5,202.8,79.25,71,1,3.7,acc,94.0,402,174,184,121,1129.0,21.0,76.0,527,33,159,58,115,79.0,243,116,austin-rivers-1,Role Player
2010,Avery Bradley,Texas,19,G,11.47,3.04,3.14,31.5,37.5,2.0,4.0,8.25,9.5,74.0,75.25,98.5,180.4,79.25,71,18,,big-12,65.0,368,159,66,36,1003.0,33.0,80.0,396,44,112,42,98,52.0,256,117,avery-bradley-1,Role Player
2017,Bam Adebayo,Kentucky,14,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,32,57,9.5,sec,186.0,284,170,236,154,1145.0,118.0,99.0,494,26,0,0,304,64.0,284,170,edrice-adebayo-1,Exclude
2016,Ben Bentil,Providence,51,F,11.16,3.1,3.3,29.0,33.0,11.36,9.7,9.5,10.0,79.25,80.25,105.0,229.2,85.5,40,36,6.7,big-east,174.0,533,246,248,194,1198.0,94.0,97.0,738,30,158,52,268,67.0,375,194,ben-bentil-1,Exclude
2004,Ben Gordon,Connecticut,3,G,11.28,3.04,3.19,31.5,37.5,12.0,5.3,8.46,9.1,73.0,74.25,99.0,192.0,80.5,176,6,,big-east,150.0,551,239,170,141,1346.0,34.0,91.0,723,53,240,104,184,108.0,311,135,ben-gordon-1,Starter
2013,Ben McLemore,Kansas,7,G,11.87,3.11,3.27,32.5,42.0,6.0,5.0,8.75,9.5,75.5,76.75,100.5,189.2,79.75,73,25,10.2,big-12,145.0,400,198,138,120,1191.0,47.0,69.0,589,37,174,73,192,77.0,226,125,ben-mclemore-1,Bust
2016,Ben Simmons,Louisiana State,1,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,158,27,11.6,sec,285.0,386,216,297,199,1151.0,103.0,92.0,632,65,3,1,388,111.0,383,215,ben-simmons-1,Exclude
2012,Bernard James,Florida State,33,F,11.84,3.1,3.4,30.0,32.5,6.0,5.0,9.0,9.25,80.75,82.0,108.5,229.8,87.0,16,82,8.4,acc,176.0,259,157,116,64,979.0,107.0,68.0,378,26,0,0,283,73.0,259,157,bernard-james--1,Exclude
2004,Bernard Robinson,Michigan,45,G,10.91,3.04,3.17,28.5,34.5,14.0,6.0,8.46,9.1,77.25,78.5,102.0,208.0,82.0,130,10,,big-ten,158.0,347,150,122,94,1095.0,36.0,84.0,411,64,68,17,194,93.0,279,133,bernard-robinson-1,Exclude
2009,Blake Griffin,Oklahoma,1,F,10.95,3.1,3.28,32.0,35.5,22.0,8.2,8.95,9.59,80.5,82.0,105.0,248.4,83.25,80,41,,big-12,369.0,459,300,324,191,1165.0,135.0,89.0,794,39,8,3,504,116.0,451,297,blake-griffin-1,All-Star
2006,Bobby Jones,Washington,37,F,11.23,3.1,3.28,28.5,34.5,15.0,8.0,8.95,9.59,77.75,78.75,101.5,211.0,81.5,43,17,,pac-10,94.0,239,113,118,88,874.0,69.0,104.0,343,40,88,29,163,66.0,151,84,bobby-jones-2,Exclude
2015,Bobby Portis,Arkansas,22,F,11.78,3.28,3.56,25.0,31.5,5.0,8.9,9.5,9.25,81.5,82.5,108.5,246.2,86.0,42,50,9.0,sec,188.0,466,250,156,115,1076.0,133.0,78.0,629,39,30,14,321,56.0,436,236,bobby-portis-1,Role Player
2001,Bobby Simmons,DePaul,41,F,11.69,3.1,3.41,27.5,34.0,12.0,6.7,8.95,9.59,78.25,80.81,105.0,235.0,84.25,72,4,,cusa,172.0,333,149,155,124,981.0,76.0,97.0,483,23,165,61,248,60.0,168,88,bobby-simmons-1,Starter
2005,Bracey Wright,Indiana,47,G,11.58,3.04,3.27,30.0,36.0,8.0,6.39,8.46,9.1,73.25,74.5,100.5,186.8,82.0,70,15,,big-ten,92.0,363,150,161,126,917.0,33.0,50.0,476,29,152,50,125,68.0,211,100,bracey-wright-1,Exclude
2012,Bradley Beal,Florida,3,G,10.95,3.04,3.28,33.0,39.0,8.0,6.0,8.5,9.0,75.25,76.75,100.0,201.8,80.0,83,31,8.6,sec,199.0,393,175,173,133,1267.0,50.0,76.0,546,51,186,63,249,79.0,207,112,bradley-beal-1,Starter
2007,Brandan Wright,North Carolina,8,F,11.76,3.1,3.31,30.5,35.5,2.0,5.8,8.95,9.59,80.75,82.0,108.5,200.0,87.75,37,65,,acc,152.0,353,228,157,89,1013.0,77.0,55.0,545,36,0,0,229,59.0,353,228,brandan-wright-1,Exclude
2015,Branden Dawson,Michigan State,56,F,12.22,3.53,3.2,28.5,34.5,12.0,5.8,9.0,8.75,77.5,78.75,105.0,230.2,83.0,59,58,9.5,big-ten,216.0,340,182,104,51,1055.0,102.0,72.0,415,42,0,0,318,67.0,340,182,branden-dawson-1,Exclude
2001,Brandon Armstrong,Pepperdine,23,G,10.91,3.04,3.2,30.0,37.0,6.0,9.3,8.46,9.1,75.5,76.12,99.5,188.0,81.5,46,6,,wcc,65.0,537,240,155,128,1027.0,36.0,85.0,684,46,198,76,101,65.0,339,164,brandon-armstrong-1,Exclude
2005,Brandon Bass,Louisiana State,33,F,11.61,3.1,3.24,31.5,33.0,18.0,9.3,8.95,9.59,78.25,79.25,106.5,246.0,86.5,25,48,,sec,190.0,319,181,188,146,1007.0,82.0,73.0,520,24,26,12,272,54.0,293,169,brandon-bass-1,Role Player
2003,Brandon Hunter,Ohio,56,F,11.13,3.1,3.21,32.5,35.0,25.0,8.0,8.95,9.59,78.5,80.81,105.5,266.0,86.75,78,35,,mac,283.0,415,217,335,199,1146.0,95.0,84.0,644,25,37,11,378,108.0,378,206,brandon-hunter-1,Exclude
2016,Brandon Ingram,Duke,2,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,72,49,7.5,acc,177.0,484,214,170,116,1246.0,67.0,74.0,624,41,195,80,244,72.0,289,134,brandon-ingram-1,Role Player
2011,Brandon Knight,Kentucky,8,G,10.74,3.04,3.07,29.0,37.5,10.0,4.2,8.25,9.5,73.5,75.25,98.5,176.8,78.75,159,8,5.9,sec,128.0,513,217,171,136,1363.0,25.0,83.0,657,25,231,87,153,120.0,282,130,brandon-knight-1,Role Player
2006,Brandon Roy,Washington,6,G,11.13,3.04,3.27,34.0,40.5,6.0,7.6,8.46,9.1,77.25,78.25,101.0,207.0,80.0,135,26,,pac-10,117.0,449,228,211,171,1046.0,69.0,81.0,666,46,97,39,186,75.0,352,189,brandon-roy-1,All-Star
2008,Brandon Rush,Kansas,13,G,11.33,3.04,3.31,32.5,35.0,0.0,6.39,8.46,9.1,77.0,78.5,104.5,211.4,83.25,81,32,,big-12,138.0,414,180,86,67,1127.0,57.0,60.0,507,32,191,80,195,69.0,223,100,brandon-rush-1,Starter
2001,Brendan Haywood,North Carolina,20,C,12.87,3.1,3.5,27.0,28.5,17.0,12.9,9.12,9.86,83.75,83.73,113.5,266.0,90.5,42,120,,acc,137.0,262,155,184,95,901.0,105.0,97.0,405,18,0,0,242,66.0,262,155,brendan-haywood-1,Role Player
2000,Brian Cardinal,Purdue,44,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,71,10,,big-ten,,333,137,169,130,943.0,,86.0,446,65,124,42,203,74.0,209,95,brian-cardinal-1,Starter
2003,Brian Cook,Illinois,24,F,11.87,3.1,3.45,25.0,29.0,6.0,10.5,8.95,9.59,81.5,80.81,109.0,234.0,86.0,60,13,,big-ten,183.0,422,202,205,168,940.0,44.0,88.0,599,20,89,27,227,83.0,333,175,brian-cook-1,Role Player
2001,Brian Scalabrine,Southern California,34,F,11.75,3.1,3.47,27.0,30.5,14.0,13.6,8.95,9.59,80.75,80.81,105.5,241.0,81.75,96,31,,pac-10,132.0,362,173,166,133,1116.0,70.0,89.0,499,30,66,20,202,104.0,296,153,brian-scalabrine-1,Role Player
2016,Brice Johnson,North Carolina,25,F,11.88,2.94,3.2,33.5,38.0,11.36,7.5,9.0,8.25,81.0,82.5,106.5,208.6,84.5,58,59,,acc,301.0,435,267,184,144,1121.0,115.0,106.0,678,43,0,0,416,71.0,435,267,brice-johnson-1,Exclude
2008,Brook Lopez,Stanford,10,C,12.77,3.1,3.57,27.5,30.5,7.0,6.3,9.12,9.86,83.25,84.5,113.0,258.0,89.5,37,56,,pac-10,144.0,393,184,194,153,831.0,77.0,66.0,521,16,6,0,221,58.0,387,184,brook-lopez-1,Starter
2018,Bruce Brown,Miami (FL),42,G,11.11,3.44,3.2,32.5,38.0,17.0,3.75,8.5,8.5,75.5,77.0,98.5,194.6,81.0,76,15,6.6,acc,110.0,188,78,70,44,640.0,25.0,43.0,216,25,60,16,135,43.0,128,62,bruce-brown-2,Exclude
2016,Buddy Hield,Oklahoma,6,G,11.11,3.04,3.22,30.1,36.1,8.78,6.1,8.5,9.0,75.75,77.0,101.0,212.4,81.25,75,18,11.5,big-12,166.0,601,301,200,176,1309.0,46.0,76.0,925,42,322,147,212,113.0,279,154,buddy-hield-1,Starter
2009,Byron Mullens,Ohio State,24,C,11.1,3.1,3.45,28.5,32.5,10.0,8.5,9.12,9.86,83.75,85.25,111.0,258.2,85.5,9,37,,big-ten,99.0,188,120,93,52,671.0,55.0,68.0,292,16,1,0,154,51.0,187,120,bj-mullens-1,Bust
2014,C.J. Wilcox,Washington,28,G,11.3,2.92,3.22,31.0,37.5,8.78,6.5,8.75,9.0,75.5,77.0,100.5,201.0,81.75,81,32,7.4,pac-12,97.0,435,197,118,103,1116.0,22.0,75.0,587,32,230,90,119,54.0,205,107,cj-wilcox-1,Exclude
2013,CJ McCollum,Lehigh,10,G,11.02,2.91,3.32,32.0,38.5,13.0,8.6,8.0,9.5,74.25,75.25,96.5,197.0,78.25,35,4,8.1,patriot,48.0,194,96,73,62,372.0,12.0,21.0,287,17,64,33,60,32.0,130,63,cj-mccollum-1,Starter
2017,Caleb Swanigan,Purdue,26,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,9.5,10.25,79.5,80.5,108.0,245.6,87.0,107,28,10.6,big-ten,340.0,421,222,210,164,1139.0,96.0,97.0,646,15,85,38,436,118.0,336,184,caleb-swanigan-1,Exclude
2014,Cameron Bairstow,New Mexico,49,F,11.39,3.09,3.37,31.0,33.5,11.36,8.7,8.75,9.0,80.75,81.75,107.0,252.4,84.75,53,51,7.5,mwc,175.0,426,237,298,219,1119.0,76.0,72.0,694,19,3,1,251,68.0,423,236,cameron-bairstow-1,Exclude
2015,Cameron Payne,Murray State,14,G,10.9,2.93,3.28,29.8,35.5,0.0,6.3,8.5,8.25,72.75,73.5,97.5,182.8,79.25,209,17,8.9,ovc,108.0,537,245,169,133,1127.0,21.0,72.0,707,68,223,84,129,87.0,314,161,cameron-payne-1,Exclude
2016,Caris LeVert,Michigan,20,G,11.11,3.04,3.22,30.1,36.1,8.78,7.55,8.5,9.25,77.75,79.0,101.0,191.0,82.0,74,3,11.9,big-ten,71.0,162,82,68,54,464.0,9.0,18.0,247,15,65,29,80,25.0,97,53,caris-levert-1,Exclude
2007,Carl Landry,Purdue,31,F,11.35,3.1,3.29,31.5,36.5,21.0,7.5,8.95,9.59,79.0,80.5,102.5,248.0,83.0,42,32,,big-ten,148.0,367,219,277,201,1035.0,101.0,99.0,643,40,19,4,249,102.0,348,215,carl-landry-1,Starter
2002,Carlos Boozer,Duke,34,F,10.77,3.1,3.31,26.5,28.5,13.0,7.79,8.95,9.59,79.75,80.81,108.5,258.0,86.25,38,21,,acc,184.0,346,230,236,178,993.0,119.0,107.0,638,31,1,0,303,65.0,345,230,carlos-boozer-1,Starter
2003,Carmelo Anthony,Syracuse,3,F,11.4,3.1,3.15,30.5,33.5,7.0,8.0,8.95,9.59,78.25,80.81,105.5,233.0,84.0,77,30,,big-east,248.0,612,277,238,168,1274.0,101.0,77.0,778,55,166,56,349,77.0,446,221,carmelo-anthony-1,Starter
2002,Caron Butler,Connecticut,10,F,12.15,3.1,3.33,27.0,31.0,2.0,7.79,8.95,9.59,77.25,80.81,103.5,222.0,83.5,101,13,,big-east,148.0,521,253,199,155,1223.0,108.0,75.0,691,71,75,30,256,98.0,446,223,caron-butler-1,Starter
2013,Carrick Felix,Arizona State,33,F,11.16,3.09,3.25,32.0,38.5,15.0,3.3,8.5,9.5,76.75,78.25,103.5,202.6,81.25,57,39,6.6,pac-12,212.0,378,189,122,81,1235.0,73.0,105.0,511,50,139,52,285,70.0,239,137,carrick-felix-1,Exclude
2002,Casey Jacobsen,Stanford,22,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,106,3,,pac-10,90.0,465,205,237,184,1058.0,45.0,55.0,658,18,172,64,135,73.0,293,141,casey-jacobsen-1,Role Player
2006,Cedric Simmons,North Carolina State,15,F,11.05,3.1,3.31,30.5,35.0,15.0,5.6,8.95,9.59,80.25,81.5,108.5,223.0,88.25,54,80,,acc,147.0,218,128,177,120,880.0,56.0,98.0,378,21,2,2,203,59.0,216,126,cedric-simmons-1,Exclude
2018,Chandler Hutchison,Boise State,22,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,107,8,7.9,mwc,211.0,432,205,224,163,961.0,27.0,74.0,619,46,128,46,238,104.0,304,159,chandler-hutchison-1,Exclude
2011,Chandler Parsons,Florida,38,F,11.05,3.1,3.29,25.5,31.5,4.0,7.0,8.25,10.0,80.75,81.75,104.5,221.2,81.5,136,15,9.5,sec,205.0,323,155,97,54,1229.0,74.0,67.0,407,34,117,43,279,81.0,206,112,chandler-parsons-1,Starter
2005,Channing Frye,Arizona,8,F,11.6,3.1,3.38,27.5,31.0,19.0,7.79,8.95,9.59,81.5,82.5,110.5,243.6,86.5,72,85,,pac-10,178.0,410,227,153,127,1148.0,104.0,95.0,584,35,17,3,282,64.0,393,224,channing-frye-1,Role Player
