player_name,pro_id,cbb_id
Ian Mahinmi,mahinia01,
Wayne Simien,simiewa01,wayne-simien-1
David Lee,leeda02,david-lee-1
Salim Stoudamire,stoudsa01,salim-stoudamire-1
Daniel Ewing,ewingda01,daniel-ewing-1
Brandon Bass,bassbr01,brandon-bass-1
C.J. Miles,milescj01,
Ersan İlyasova,ilyaser01,
Ronny Turiaf,turiaro01,ronny-turiaf-1
Travis Diener,dienetr01,travis-diener-1
Von Wafer,wafervo01,von-wafer-1
Monta Ellis,ellismo01,
Roko Ukić,ukicro01,
Chris Taft,taftch01,chris-taft-1
Mile Ilić,ilicmi01,
Martynas Andriuškevičius,andrima01,
Lou Williams,willilo02,
Erazem Lorbek,lorbeer01,erazem-lorbek-1
Bracey Wright,wrighbr02,bracey-wright-1
Mickaël Gelabale,gelabmi01,
Andray Blatche,blatcan01,
Ryan Gomes,gomesry01,ryan-gomes-1
Robert Whaley,whalero01,robert-whaley-1
Axel Hervelle,herveax01,
Orien Greene,greenor01,orien-greene-1
Dijon Thompson,thompdi01,dijon-thompson-1
Lawrence Roberts,roberla01,lawrence-roberts-1
Amir Johnson,johnsam01,
Marcin Gortat,gortama01,
Uroš Slokar,slokaur01,
Cenk Akyol,akyolce01,
Alex Acker,ackeral01,alex-acker-1
Andrea Bargnani,bargnan01,
LaMarcus Aldridge,aldrila01,lamarcus-aldridge-1
Adam Morrison,morriad01,adam-morrison-1
Tyrus Thomas,thomaty01,tyrus-thomas-1
Shelden Williams,willish02,shelden-williams-1
Brandon Roy,roybr01,brandon-roy-1
Randy Foye,foyera01,randy-foye-1
Rudy Gay,gayru01,rudy-gay-1
Patrick O'Bryant,obryapa01,patrick-obryant-1
Mouhamed Sene,senesa01,
J.J. Redick,redicjj01,jj-redick-1
Hilton Armstrong,armsthi01,hilton-armstrong-1
Thabo Sefolosha,sefolth01,
Ronnie Brewer,brewero02,ronnie-brewer-1
Cedric Simmons,simmoce01,cedric-simmons-1
Rodney Carney,carnero01,rodney-carney-1
Shawne Williams,willish03,shawne-williams-1
Oleksiy Pecherov,pecheol01,
Quincy Douby,doubyqu01,quincy-douby-1
Renaldo Balkman,balkmre01,renaldo-balkman-1
Rajon Rondo,rondora01,rajon-rondo-1
Marcus Williams,willima03,marcus-williams-1
Josh Boone,boonejo01,josh-boone-1
Kyle Lowry,lowryky01,kyle-lowry-1
Shannon Brown,brownsh01,shannon-brown-1
Jordan Farmar,farmajo01,jordan-farmar-1
Sergio Rodríguez,rodrise01,
Maurice Ager,agerma01,maurice-ager-1
Mardy Collins,collima01,mardy-collins-1
Joel Freeland,freeljo01,
James White,whiteja02,james-white-1
Steve Novak,novakst01,steve-novak-1
Solomon Jones,jonesso01,solomon-jones-1
Paul Davis,davispa01,paul-davis-1
P.J. Tucker,tuckepj01,pj-tucker-1
Craig Smith,smithcr01,craig-smith-1
Bobby Jones,jonesbo02,bobby-jones-2
Kosta Perović,perovko01,
David Noel,noelda01,david-noel-1
James Augustine,augusja01,james-augustine-1
Daniel Gibson,gibsoda01,daniel-gibson-1
Marcus Vinicius,vincima01,
Lior Eliyahu,eliyali01,
Alexander Johnson,johnsal01,alexander-johnson-1
Dee Brown,brownde03,dee-brown-2
Paul Millsap,millspa01,paul-millsap-1
Vladimir Veremeenko,veremvl01,
Leon Powe,powele01,leon-powe-1
Ryan Hollins,holliry01,ryan-hollins-1
Cheikh Samb,sambch01,
Guillermo Díaz,diazgu01,guillermo-diaz-1
Yotam Halperin,halpeyo01,
Hassan Adams,adamsha01,hassan-adams-1
Ejike Ugboaja,ugboaej01,
Edin Bavčić,bavcied01,
Damir Markota,markoda01,
Will Blalock,blalowi01,will-blalock-1
Greg Oden,odengr01,greg-oden-1
Kevin Durant,duranke01,kevin-durant-1
Al Horford,horfoal01,al-horford-1
Mike Conley,conlemi01,mike-conley-1
Jeff Green,greenje02,jeff-green-1
Yi Jianlian,jianlyi01,
Corey Brewer,breweco01,corey-brewer-1
Brandan Wright,wrighbr03,brandan-wright-1
Joakim Noah,noahjo01,joakim-noah-1
Spencer Hawes,hawessp01,spencer-hawes-1
Acie Law,lawac01,acie-law-1
Thaddeus Young,youngth01,thaddeus-young-1
Julian Wright,wrighju01,julian-wright-1
Al Thornton,thornal01,al-thornton-1
Rodney Stuckey,stuckro01,rodney-stuckey-1
Nick Young,youngni01,nick-young-1
Sean Williams,willise01,sean-williams-1
Marco Belinelli,belinma01,
Javaris Crittenton,crittja01,javaris-crittenton-1
Jason Smith,smithja02,jason-smith-1
Daequan Cook,cookda02,daequan-cook-1
Jared Dudley,dudleja01,jared-dudley-1
Wilson Chandler,chandwi01,wilson-chandler-1
Rudy Fernández,fernaru01,rudy-fernandez-1
Morris Almond,almonmo01,morris-almond-1
Aaron Brooks,brookaa01,aaron-brooks-1
Arron Afflalo,afflaar01,arron-afflalo-1
Tiago Splitter,splitti01,
Alando Tucker,tuckeal02,alando-tucker-1
Petteri Koponen,koponpe01,
Carl Landry,landrca01,carl-landry-1
Gabe Pruitt,pruitga01,gabe-pruitt-1
Marcus Williams,willima04,marcus-williams-2
Nick Fazekas,fazekni01,nick-fazekas-1
Glen Davis,davisgl01,glen-davis-1
Jermareo Davidson,davidje01,jermareo-davidson-1
Josh McRoberts,mcrobjo01,josh-mcroberts-1
Kyrylo Fesenko,fesenky01,
Stanko Barać,baracst01,
Sun Yue,yuesu01,
Chris Richard,richach01,chris-richard-1
Derrick Byars,byarsde01,derrick-byars-1
Stéphane Lasme,lasmest01,stephane-lasme-1
Dominic McGuire,mcguido01,dominic-mcguire-1
Marc Gasol,gasolma01,
Aaron Gray,grayaa01,aaron-gray-1
Renaldas Seibutis,seibure01,
JamesOn Curry,curryja01,jameson-curry-1
Taurean Green,greenta01,taurean-green-1
Demetris Nichols,nichode01,demetris-nichols-1
Brad Newley,newlebr01,
Ramon Sessions,sessira01,ramon-sessions-1
Georgios Printezis,printgi01,
D.J. Strawberry,strawdj01,dj-strawberry-1
Milovan Raković,rakovmi01,
Derrick Rose,rosede01,derrick-rose-1
Michael Beasley,beaslmi01,michael-beasley-1
O.J. Mayo,mayooj01,oj-mayo-1
Russell Westbrook,westbru01,russell-westbrook-1
Kevin Love,loveke01,kevin-love-1
Danilo Gallinari,gallida01,
Eric Gordon,gordoer01,eric-gordon-1
Joe Alexander,alexajo01,joe-alexander-1
D.J. Augustin,augusdj01,dj-augustin-1
Brook Lopez,lopezbr01,brook-lopez-1
Jerryd Bayless,bayleje01,jerryd-bayless-1
Jason Thompson,thompja02,jason-thompson-1
Brandon Rush,rushbr01,brandon-rush-1
Anthony Randolph,randoan01,anthony-randolph-1
Robin Lopez,lopezro01,robin-lopez-1
Marreese Speights,speigma01,marreese-speights-1
Roy Hibbert,hibbero01,roy-hibbert-1
JaVale McGee,mcgeeja01,javale-mcgee-1
J.J. Hickson,hicksjj01,jj-hickson-1
Alexis Ajinça,ajincal01,
Ryan Anderson,anderry01,ryan-anderson-1
Courtney Lee,leeco01,courtney-lee-1
Kosta Koufos,koufoko01,kosta-koufos-1
Serge Ibaka,ibakase01,
Nicolas Batum,batumni01,
George Hill,hillge01,george-hill-1
Darrell Arthur,arthuda01,darrell-arthur-1
Donté Greene,greendo01,donte-greene-1
D.J. White,whitedj01,dj-white-1
J.R. Giddens,giddejr01,jr-giddens-1
Nikola Peković,pekovni01,
Walter Sharpe,sharpwa01,walter-sharpe-1
Joey Dorsey,dorsejo01,joey-dorsey-1
Mario Chalmers,chalmma01,mario-chalmers-1
DeAndre Jordan,jordade01,deandre-jordan-1
Ömer Aşık,asikom01,
Luc Mbah a Moute,mbahalu01,luc-richard-mbah-a-moute-1
Kyle Weaver,weaveky01,kyle-weaver-1
Sonny Weems,weemsso01,sonny-weems-1
Chris Douglas-Roberts,douglch01,chris-douglas-roberts-1
Nathan Jawai,jawaina01,
Sean Singletary,singlse01,sean-singletary-1
Patrick Ewing,ewingpa02,pat-ewing-1
Ante Tomić,tomican01,
Goran Dragić,dragigo01,
Henry Walker,walkebi01,bill-walker-1
Malik Hairston,hairsma01,malik-hairston-1
DeVon Hardin,hardide01,devon-hardin-1
Darnell Jackson,jacksda01,darnell-jackson-1
