,assist_percentage,assists,box_plus_minus,block_percentage,blocks,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,name,offensive_rebound_percentage,offensive_rebounds,personal_fouls,player_id,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage
1154,5.0,24,,2.7,40,acc,,145.0,0.57,460,244,0.457,210,0.79,166,1092.0,Al Thornton,,106.0,95.0,al-thornton-1,690,,53,0.176,81,0.444,36,14.6,251,0.616,13.5,87.0,379,0.549,208,30.0
1155,,160,,,9,big-sky,,100.0,0.496,501,227,0.507,254,0.846,215,965.0,Rodney Stuckey,,35.0,68.0,rodney-stuckey-1,712,,71,0.321,161,0.267,43,,135,0.573,13.6,98.0,340,0.541,184,
1156,,50,,,10,pac-10,,127.0,0.574,455,239,0.349,159,0.786,125,1227.0,Nick Young,,44.0,92.0,nick-young-1,647,,27,0.22,100,0.44,44,,171,0.61,14.5,90.0,355,0.549,195,
1157,7.4,18,,10.3,75,acc,,68.0,0.548,115,63,0.696,80,0.7,56,483.0,Sean Williams,,36.0,48.0,sean-williams-1,182,,21,0.0,0,,0,12.8,104,0.595,18.6,35.0,115,0.548,63,20.0
1158,,184,,,2,acc,,91.0,0.501,351,158,0.393,138,0.783,108,1003.0,Javaris Crittenton,,28.0,67.0,javaris-crittenton-1,460,,65,0.288,101,0.356,36,,119,0.552,22.9,124.0,250,0.488,122,
1159,,58,,,47,mwc,,206.0,0.579,302,175,0.662,200,0.77,154,905.0,Jason Smith,,98.0,94.0,jason-smith-1,504,,16,0.01,3,0.0,0,,304,0.635,20.4,102.0,299,0.585,175,
1160,,40,,,10,big-ten,,139.0,0.53,317,141,0.208,66,0.697,46,770.0,Daequan Cook,,28.0,66.0,daequan-cook-1,382,,28,0.41,130,0.415,54,,167,0.548,13.8,56.0,187,0.465,87,
1161,16.8,90,,0.6,10,acc,,157.0,0.618,347,195,0.55,191,0.743,142,1152.0,Jared Dudley,,91.0,66.0,jared-dudley-1,571,,42,0.254,88,0.443,39,12.8,248,0.652,15.1,78.0,259,0.602,156,23.0
1162,,48,,,47,big-east,,172.0,0.495,431,194,0.248,107,0.654,70,1078.0,Wilson Chandler,,63.0,96.0,wilson-chandler-1,497,,22,0.271,117,0.333,39,,235,0.516,10.2,55.0,314,0.494,155,
1163,,37,,,24,cusa,,167.0,0.554,544,263,0.524,285,0.846,241,1069.0,Morris Almond,,43.0,68.0,morris-almond-1,844,,38,0.311,169,0.456,77,,210,0.621,13.8,109.0,375,0.496,186,
