year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,player_id,classification
2007,Acie Law,Texas A&M,11,G,11.0,3.04,3.22,29.0,34.0,8.0,5.6,8.46,9.1,74.0,75.5,98.0,186.0,78.5,30.8,169,0.1,1,,big-12,,105.0,0.544,432,216,0.428,185,0.778,144,1153.0,,8.0,83.0,614,,39,0.192,83,0.45799999999999996,38,6.0,113,0.591,14.5,88.0,349,0.51,178,27.8,acie-law-1,Exclude
2006,Adam Morrison,Gonzaga,3,F,11.46,3.1,3.37,25.5,30.5,11.0,6.8,8.95,9.59,78.5,79.75,105.0,198.0,82.0,17.4,188,0.9,35,,,,361.0,0.552,1329,669,0.397,527,0.7609999999999999,401,2908.0,,124.0,164.0,1867,,66,0.262,348,0.368,128,9.4,485,0.591,9.4,164.0,981,0.551,541,26.7,adam-morrison-1,Exclude
2006,Adam Morrison,Gonzaga,3,F,11.46,3.1,3.37,25.5,30.5,11.0,6.8,8.95,9.59,78.5,79.75,105.0,198.0,82.0,,56,,11,,wcc,,135.0,0.556,617,306,0.504,311,0.772,240,1205.0,,47.0,66.0,926,,35,0.28,173,0.428,74,,182,0.605,9.0,76.0,444,0.523,232,,adam-morrison-1,Exclude
2014,Adreian Payne,Michigan State,15,F,11.46,3.1,3.3,29.41,34.23,11.36,7.55,9.25,9.5,81.0,81.75,109.0,238.5,88.0,6.6,85,5.8,141,7.4,,22.4,524.0,0.562,850,447,0.43200000000000005,367,0.755,277,2759.0,9.5,211.0,297.0,1232,1.7,76,0.175,149,0.409,61,16.1,735,0.601,15.4,187.0,701,0.551,386,22.9,adreian-payne-1,Exclude
2014,Adreian Payne,Michigan State,15,F,11.46,3.1,3.3,29.41,34.23,11.36,7.55,9.25,9.5,81.0,81.75,109.0,238.5,88.0,10.2,41,3.8,28,6.6,big-ten,22.9,177.0,0.565,354,178,0.39,138,0.79,109,870.0,6.8,48.0,80.0,509,1.0,15,0.294,104,0.423,44,15.2,225,0.607,13.1,63.0,250,0.536,134,28.9,adreian-payne-1,Exclude
2007,Al Horford,Florida,3,F,12.15,3.1,3.37,31.0,35.5,20.0,9.1,8.95,9.59,80.0,81.75,107.0,246.0,84.75,11.6,187,4.9,189,,,,610.0,0.586,724,424,0.613,444,0.619,275,2798.0,,254.0,270.0,1123,,94,0.006,4,0.0,0,17.0,864,0.601,15.6,173.0,720,0.589,424,18.6,al-horford-1,Starter
2007,Al Horford,Florida,3,F,12.15,3.1,3.37,31.0,35.5,20.0,9.1,8.95,9.59,80.0,81.75,107.0,246.0,84.75,,82,,70,,sec,,264.0,0.608,306,186,0.66,202,0.644,130,1057.0,,96.0,94.0,502,,28,0.006999999999999999,2,0.0,0,,360,0.624,14.5,68.0,304,0.612,186,,al-horford-1,Starter
2007,Al Thornton,Florida State,14,F,11.96,3.1,3.16,35.0,41.0,9.0,5.8,8.95,9.59,77.75,79.0,104.0,221.0,85.0,7.3,87,2.0,74,,,,383.0,0.5589999999999999,1034,546,0.505,522,0.701,366,2723.0,,258.0,280.0,1521,,103,0.139,144,0.43799999999999994,63,14.6,641,0.593,14.4,215.0,890,0.5429999999999999,483,28.3,al-thornton-1,Bust
2007,Al Thornton,Florida State,14,F,11.96,3.1,3.16,35.0,41.0,9.0,5.8,8.95,9.59,77.75,79.0,104.0,221.0,85.0,5.0,24,2.7,40,,acc,,145.0,0.57,460,244,0.457,210,0.79,166,1092.0,,106.0,95.0,690,,53,0.17600000000000002,81,0.444,36,14.6,251,0.616,13.5,87.0,379,0.5489999999999999,208,30.0,al-thornton-1,Bust
2010,Al-Farouq Aminu,Wake Forest,8,F,11.29,3.1,3.3,27.0,33.5,13.0,8.2,9.5,9.5,79.25,80.5,108.5,216.0,87.25,9.1,87,4.5,82,,,20.5,381.0,0.495,657,313,0.534,351,0.687,241,1869.0,14.6,204.0,172.0,892,2.6,74,0.16,105,0.23800000000000002,25,17.6,585,0.541,17.9,180.0,552,0.522,288,27.5,al-farouq-aminu-1,Role Player
2010,Al-Farouq Aminu,Wake Forest,8,F,11.29,3.1,3.3,27.0,33.5,13.0,8.2,9.5,9.5,79.25,80.5,108.5,216.0,87.25,9.1,41,4.5,44,,acc,20.5,199.0,0.47100000000000003,374,167,0.532,199,0.698,139,970.0,14.6,133.0,91.0,491,2.6,44,0.17600000000000002,66,0.273,18,17.6,332,0.524,17.4,99.0,308,0.484,149,27.5,al-farouq-aminu-1,Role Player
2007,Alando Tucker,Wisconsin,29,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,13.7,213,0.4,29,,,,455.0,0.51,1663,798,0.491,817,0.636,520,4297.0,,314.0,210.0,2217,,104,0.198,329,0.307,101,10.6,769,0.54,10.0,229.0,1334,0.522,697,30.8,alando-tucker-1,Exclude
2007,Alando Tucker,Wisconsin,29,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,16.1,73,0.7,10,,big-ten,,118.0,0.506,545,256,0.457,249,0.659,164,1181.0,,78.0,45.0,716,,33,0.226,123,0.325,40,10.2,196,0.54,8.3,60.0,422,0.512,216,32.8,alando-tucker-1,Exclude
